VENITURI TOTALE;Casa si conturi la banci;CHELTUIELI TOTALE;Pierdere neta;DATORII;Cifra de afaceri neta;Numar mediu de salariati;ACTIVE IMOBILIZATE - TOTAL;VENITURI IN AVANS;Profitul net;Pierdere bruta;Profitul brut;CHELTUIELI IN AVANS;ACTIVE CIRCULANTE - TOTAL din care:;CUI;CAEN;DENUMIRE;COD_INMATRICULARE
2898471;374798;2277402;0;3996494;2770895;17;4480006;39962;595021;0;621069;1415;791133;23405100;9311;WINNERS PARCUL ROZELOR S.R.L.;J12/900/2008
5478421;763692;4362029;0;2389608;5391945;23;4599324;371;981169;0;1116392;252664;1169515;23405100;9311;WINNERS PARCUL ROZELOR S.R.L.;J12/900/2008
4686599;94720;3775167;0;2724923;4567947;19;4638344;44648;871635;0;911432;21106;810476;23405100;9311;WINNERS PARCUL ROZELOR S.R.L.;J12/900/2008
4004485;239981;3376868;0;3377206;3939776;17;4484949;35543;592622;0;627617;2529;753991;23405100;9311;WINNERS PARCUL ROZELOR S.R.L.;J12/900/2008
4302399;100284;2758717;0;6386943;4195108;3;12692153;0;1501731;0;1543682;0;222339;25818910;9329;AKELA ENTERTAINMENT S.R.L.;J12/1518/2009
6286665;15;5120617;0;5153088;2495293;3;7847435;0;1145203;0;1166048;0;4978403;25818910;9329;AKELA ENTERTAINMENT S.R.L.;J12/1518/2009
1863636;37488;1439125;0;5179777;4939930;2;13748155;0;382466;0;424511;0;125052;25818910;9329;AKELA ENTERTAINMENT S.R.L.;J12/1518/2009
4368585;100284;3840054;0;6242872;228040;0;10973552;0;524652;0;528531;0;4179068;25818910;9329;AKELA ENTERTAINMENT S.R.L.;J12/1518/2009
3683991;6725;2032069;0;3747540;3547578;3;10975469;0;1616445;0;1651922;0;520812;15561494;9321;MOBILE ENJOY & FAIRS S.R.L.;J12/1826/2003
2469559;6;1866725;0;3697997;2469559;3;15262799;0;581842;0;602834;0;192912;15561494;9321;MOBILE ENJOY & FAIRS S.R.L.;J12/1826/2003
1617342;483;1551811;0;6123538;4946199;4;15262799;0;23483;0;65531;0;321462;15561494;9321;MOBILE ENJOY & FAIRS S.R.L.;J12/1826/2003
3384963;183618;3368256;0;3635981;0;4;9322563;0;16707;0;16707;0;3750658;15561494;9321;MOBILE ENJOY & FAIRS S.R.L.;J12/1826/2003
821730;21965;672932;0;752043;671905;1;72325;0;140673;0;148798;0;516246;28630430;9319;MARINE EXPLORERS SRL;J13/1438/2011
1049785;41039;927608;0;811713;994600;1;46361;0;111029;0;122177;0;712908;28630430;9319;MARINE EXPLORERS SRL;J13/1438/2011
6461919;534542;5164163;0;3801798;5898921;19;9639389;2992416;1155273;0;1297756;2138;817500;25081914;9313;SME SPORE SRL;J13/332/2009
3800032;179497;7136840;3336808;7577079;3674054;29;2499473;0;0;3336808;0;53468;3472110;28556465;9321;PARK EXPERT SERVICE DTL SRL;J23/1454/2011
9258158;1000734;8559819;0;7234420;7882905;27;1964007;0;698339;0;698339;22245;4394479;28556465;9321;PARK EXPERT SERVICE DTL SRL;J23/1454/2011
